actor_slug,type,title,url,captured_at,note
bua-baerum,website,BUA Bærum på BUA.no,https://www.bua.no/utlansordninger/bua-baerum,2026-03-29,Primarkilde for utlånsordningen
bua-baerum,website,Bærum kommune om BUA Bærum,https://www.baerum.kommune.no/tjenester/avfall-og-gjenvinning/ombruk/ombruksbutikker/bua-barum/,2026-03-29,Kommunal kilde for adresse og kontaktinfo
isi-gjenvinningsstasjon,website,Isi gjenvinningsstasjon,https://www.baerum.kommune.no/tjenester/avfall-og-gjenvinning/isi-gjenvinningsstasjon/,2026-03-29,Primarkilde for adresse og kontaktinfo
