actor_slug,type,title,url,captured_at,note
fretex-majorstuen,website,Fretex Majorstuen bruktbutikk,https://www.fretex.no/handle/finn-butikk/fretex-majorstuen/,2026-03-29,Primarkilde for kontaktinfo og åpningstider
oslo-sykkelverksted,website,Oslo Sykkelverksted,https://www.oslosykkelverksted.no/,2026-03-29,Primarkilde for verksted og kontaktflate
haraldrud-gjenvinningsstasjon,website,Haraldrud gjenvinningsstasjon,https://www.oslo.kommune.no/avfall-og-gjenvinning/alle-gjenvinningsstasjoner/haraldrud-gjenvinningsstasjon/,2026-03-29,Kommunal kilde for åpningstider og leveringsregler
haraldrud-ombrukstelt,website,Haraldrud ombrukstelt,https://www.oslo.kommune.no/avfall-og-gjenvinning/alle-gjenvinningsstasjoner/haraldrud-ombrukstelt/,2026-03-29,Kommunal kilde for ombrukstelt og åpningstider
