actor_slug,type,title,url,captured_at,note
unik-gaver-gjenbruk-evje,map,Google Maps,https://maps.google.com/?cid=263983539818307290&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
brukt-elsket-vennesla,map,Google Maps,https://maps.google.com/?cid=11587632471308095491&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
kontakten-bruktbutikk-vennesla,map,Google Maps,https://maps.google.com/?cid=12303366211715708819&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
setesdal-husflid-valle,website,Offisiell nettside,http://www.setesdalhusflid.no/,2026-04-15,
setesdal-husflid-valle,map,Google Maps,https://maps.google.com/?cid=16161160340813991037&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
vennesla-gjenbruk-vennesla,map,Google Maps,https://maps.google.com/?cid=2405490990066175860&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
setesdal-miljo-gjenvinning-iks-evje,website,Offisiell nettside,http://www.smg-iks.no/,2026-04-15,
setesdal-miljo-gjenvinning-iks-evje,map,Google Maps,https://maps.google.com/?cid=5149520230338322866&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
sareptas-brukthandel-froland,map,Google Maps,https://maps.google.com/?cid=9350548880675284212&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
verditorget-nedenes,website,Offisiell nettside,http://www.facebook.com/Gjenbruksbutikken,2026-04-15,
verditorget-nedenes,map,Google Maps,https://maps.google.com/?cid=3451651360360497865&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
hjembu-gard-as-risor,website,Offisiell nettside,http://www.hjembu.no/,2026-04-15,
hjembu-gard-as-risor,map,Google Maps,https://maps.google.com/?cid=16316947962023231541&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
rosseland-bruktbutikk-brennasen,map,Google Maps,https://maps.google.com/?cid=7614264055571858487&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
greipstad-bruktbutikk-brennasen,website,Offisiell nettside,https://m.facebook.com/Greipstad-Bruktbutikk-177115600632,2026-04-15,
greipstad-bruktbutikk-brennasen,map,Google Maps,https://maps.google.com/?cid=2741019876201929004&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
din-handel-arendal-arendal,website,Offisiell nettside,https://dinhandel.com/,2026-04-15,
din-handel-arendal-arendal,map,Google Maps,https://maps.google.com/?cid=13735449063901402694&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
galleri-normisjon-arendal-arendal,website,Offisiell nettside,https://www.gallerinormisjon.no/galleri-arendal/,2026-04-15,
galleri-normisjon-arendal-arendal,map,Google Maps,https://maps.google.com/?cid=17496453924626444646&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
brukbar-arendal,website,Offisiell nettside,http://www.agderrenovasjon.no/,2026-04-15,
brukbar-arendal,map,Google Maps,https://maps.google.com/?cid=13753079697448082182&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
